region,abbreviation,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity
Carrizo,,dipodomys,californicus,,california kangroo rat,,,least concern,
Carrizo,,lepus,californicus,,black-tailed jack rabbit,,,least concern,
Carrizo,,sylvilagus,audobonii,,desert cottontail,,,least concern,
Carrizo,,ostopermophilus,beecheyi,,California ground squirrel,,,least concern,
Carrizo,,sceloporus,occidentalis,,western Fence Lizard,,,least concern,
Carrizo,,vulpes,macrotis,,kit fox,,,least concern,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
